id,"a chefs favorite, designed for comfort and efficiency .",this mug has an extra 225g (8oz) of weight to make it easier for clients with tremors and athetosis to control movement while drinking .,"angled rim for the person who is unable to tip their head back safely to drink , liquid level visible , complete with lid and microwave and dishwasher safe .","is held by three suction cups on the table to,&nbsp; peel with only one hand possible ,toothed opposite side allows e.g. to dump off a fish","insulated mug with handle and contrasting coloured rim. mug features an internal cone which assists the drinking action for those with restricted neck movement. available in two rim colours. range of lids include a spouted lid, non-drip spouted lid and a standard lid with small drinking aperture.",ergo plus cup,"if you have difficulty with poor or weak grip as a result of for example arthritis or you have a tremor then this could be the cup for you.

the wide base makes the drinking cup more stable and the two handed large grip handles makes it easier to hold.

this two handled cup is suitable for children and adults. the cup has an angled spill resistant spout and lid and a sip lid and can be used with a straw.

please note - no cup can be totally non-spill - this cup is designed to mitigate spillages.","

vegetable peeler designed for comfortable, safe, effortless peeling

","effortlessly, efficiently peels slippery and waxy skins",the comforting night light means the cup can be placed anywhere near your little ones bed and still be easy to find - it&#39;s also light sensitive so you don&#39;t need to remember to turn it off!&nbsp;,"the mug with the big ears: the dombo from the gispen home collection. a cheerful drinking mug with two oversized handles for a good hold. also called domoor once, a reference to the human ear, which continues to grow throughout our lives. this dombo cup is available in 8 colors, non-break and dishwasher safe. an ideal gift that we always send in a gift wrap.","secure grip , the ergonomic shape of this drinking cup with the special indentations is particularly suitable for people with limited mobility.","truecraftware heavy duty red apple peeler, corer and slicer machine with suction base - apple spiralizer - great for pies, desserts, snacks - peeler slicer corer ","mug anti-leak with one handle , cup with lid and vacuum dosing button , independence drinking cup , schnabeltasse , drinking cup ergoplus , drinking cup night watch .",fruit &amp; vegetables counter top hand orange - apple - potato peeler remover,"find plastic glassware is made of a virtually indestructible hi-tech plastic called tritan. the glasses are clear, so you can easily see the contents.

contains belly glass; wine glass; carafe and tumbler.","one-way straws have a one way valve that keeps liquid in the straw, always available for easy drinking. it also keeps out the air from entering the stomach and causing cramps. in addition, every straw has a clip-on which stabilizes it on the cup. the one way straws make drinking easier for individuals with difficulties generating and maintaining suction. the pack contains two straws 180 mm and 250 mm in length.","tenura silicone anti microbial moulded cup holders work just like a coaster, but are fitted to the bottom of a drinking cup to ensure an anti slip base wherever you need it, and protect surfaces from hot liquids on the bottom of cups, mugs, beakers and tumblers, with easy removal for cleaning both cup and holder.",coffee &amp; tea tools color: white certification: ce / eu model number: 78743 coffee &amp; tea tools type: other,"
	seals cups, mugs and cans preventing spills and stains
	keeps drinks fresher for longer
	can be applied with ease
	made with a strong anti-microbial construction preventing bacteria from harbouring on the material
	each pack contains 6cm and 8cm diameter cupcaps
"
26,0.999999940395355,0.320445597171783,0.344771683216095,0.322566986083984,0.285045444965363,0.178608790040016,0.310737401247025,0.476168215274811,0.22520212829113,0.306454509496689,0.313901335000992,0.379594951868057,0.283081918954849,0.188651248812676,0.234992429614067,0.257120996713638,0.276982218027115,0.326678603887558,0.259370148181915,0.306204378604889
37,0.320445597171783,1,0.532686173915863,0.463829308748245,0.540055334568024,0.33466574549675,0.621641576290131,0.28566774725914,0.322685569524765,0.507797300815582,0.547021210193634,0.64352822303772,0.344797521829605,0.591823399066925,0.29023864865303,0.422150880098343,0.567786693572998,0.516377031803131,0.346955686807632,0.520083785057068
329,0.344771683216095,0.532686173915863,0.999999940395355,0.646461486816406,0.689967930316925,0.40397521853447,0.703569352626801,0.441480576992035,0.418147534132004,0.597392559051514,0.60048896074295,0.614002048969269,0.532418310642242,0.631852805614471,0.452562361955643,0.592227339744568,0.608983874320984,0.701653182506561,0.298469960689545,0.60732114315033
397,0.322566986083984,0.463829308748245,0.646461486816406,1,0.608602046966553,0.468026340007782,0.654932737350464,0.42601490020752,0.455691188573837,0.554263591766357,0.542811214923859,0.55028623342514,0.594795823097229,0.583740174770355,0.512500464916229,0.560386300086975,0.588197588920593,0.66653048992157,0.351760327816009,0.645678222179413
1008,0.285045444965363,0.540055334568024,0.689967930316925,0.608602046966553,1,0.465160101652145,0.753866136074066,0.375417321920395,0.359521836042404,0.535311996936798,0.676604449748993,0.649884879589081,0.49504229426384,0.70491749048233,0.430008351802826,0.616370797157288,0.637636065483093,0.674002587795258,0.392858743667603,0.655518114566803
1234,0.178608790040016,0.33466574549675,0.40397521853447,0.468026340007782,0.465160101652145,0.999999940395355,0.619791865348816,0.242540702223778,0.190002828836441,0.462620943784714,0.516538739204407,0.455112367868423,0.370923340320587,0.630217611789703,0.361895710229874,0.425672739744186,0.434469133615494,0.521252989768982,0.447300314903259,0.436356663703918
1284,0.310737401247025,0.621641576290131,0.703569352626801,0.654932737350464,0.753866136074066,0.619791865348816,1.00000011920929,0.425287038087845,0.437073409557343,0.68808925151825,0.695388555526733,0.794648826122284,0.496518343687058,0.79465514421463,0.449060767889023,0.598197519779205,0.682603061199188,0.763880431652069,0.42305713891983,0.658591747283935
1302,0.476168215274811,0.28566774725914,0.441480576992035,0.42601490020752,0.375417321920395,0.242540702223778,0.425287038087845,1,0.416862100362778,0.337491750717163,0.419603228569031,0.419934034347534,0.549445927143097,0.273061454296112,0.460219323635101,0.447916835546494,0.329906225204468,0.37784081697464,0.293326139450073,0.355667650699615
1309,0.22520212829113,0.322685569524765,0.418147534132004,0.455691188573837,0.359521836042404,0.190002828836441,0.437073409557343,0.416862100362778,0.999999940395355,0.372136473655701,0.317811846733093,0.41174653172493,0.453869879245758,0.266917377710342,0.4358229637146,0.395273298025131,0.396387100219727,0.499197572469711,0.267432034015656,0.492776483297348
1546,0.306454509496689,0.507797300815582,0.597392559051514,0.554263591766357,0.535311996936798,0.462620943784714,0.68808925151825,0.337491750717163,0.372136473655701,1.00000011920929,0.632964432239533,0.625519216060638,0.379224747419357,0.564746916294098,0.358444094657898,0.47343173623085,0.563113331794739,0.596026301383972,0.32710188627243,0.496096938848496
