	a chefs favorite, designed for comfort and efficiency .	this mug has an extra 225g (8oz) of weight to make it easier for clients with tremors and athetosis to control movement while drinking .	angled rim for the person who is unable to tip their head back safely to drink , liquid level visible , complete with lid and microwave and dishwasher safe .	is held by three suction cups on the table to,&nbsp; peel with only one hand possible ,toothed opposite side allows e.g. to dump off a fish	insulated mug with handle and contrasting coloured rim. mug features an internal cone which assists the drinking action for those with restricted neck movement. available in two rim colours. range of lids include a spouted lid, non-drip spouted lid and a standard lid with small drinking aperture.	ergo plus cup	"if you have difficulty with poor or weak grip as a result of for example arthritis or you have a tremor then this could be the cup for you.

the wide base makes the drinking cup more stable and the two handed large grip handles makes it easier to hold.

this two handled cup is suitable for children and adults. the cup has an angled spill resistant spout and lid and a sip lid and can be used with a straw.

please note - no cup can be totally non-spill - this cup is designed to mitigate spillages."	"

vegetable peeler designed for comfortable, safe, effortless peeling

"	effortlessly, efficiently peels slippery and waxy skins	the comforting night light means the cup can be placed anywhere near your little ones bed and still be easy to find - it&#39;s also light sensitive so you don&#39;t need to remember to turn it off!&nbsp;	the mug with the big ears: the dombo from the gispen home collection. a cheerful drinking mug with two oversized handles for a good hold. also called domoor once, a reference to the human ear, which continues to grow throughout our lives. this dombo cup is available in 8 colors, non-break and dishwasher safe. an ideal gift that we always send in a gift wrap.	secure grip , the ergonomic shape of this drinking cup with the special indentations is particularly suitable for people with limited mobility.	truecraftware heavy duty red apple peeler, corer and slicer machine with suction base - apple spiralizer - great for pies, desserts, snacks - peeler slicer corer 	mug anti-leak with one handle , cup with lid and vacuum dosing button , independence drinking cup , schnabeltasse , drinking cup ergoplus , drinking cup night watch .	fruit &amp; vegetables counter top hand orange - apple - potato peeler remover	"find plastic glassware is made of a virtually indestructible hi-tech plastic called tritan. the glasses are clear, so you can easily see the contents.

contains belly glass; wine glass; carafe and tumbler."	one-way straws have a one way valve that keeps liquid in the straw, always available for easy drinking. it also keeps out the air from entering the stomach and causing cramps. in addition, every straw has a clip-on which stabilizes it on the cup. the one way straws make drinking easier for individuals with difficulties generating and maintaining suction. the pack contains two straws 180 mm and 250 mm in length.	tenura silicone anti microbial moulded cup holders work just like a coaster, but are fitted to the bottom of a drinking cup to ensure an anti slip base wherever you need it, and protect surfaces from hot liquids on the bottom of cups, mugs, beakers and tumblers, with easy removal for cleaning both cup and holder.	coffee &amp; tea tools color: white certification: ce / eu model number: 78743 coffee &amp; tea tools type: other	"
	seals cups, mugs and cans preventing spills and stains
	keeps drinks fresher for longer
	can be applied with ease
	made with a strong anti-microbial construction preventing bacteria from harbouring on the material
	each pack contains 6cm and 8cm diameter cupcaps
"	1
a chefs favorite, designed for comfort and efficiency .																					[{'score': 0.99999994}, {'score': 0.3204456}, {'score': 0.34477168}, {'score': 0.322567}, {'score': 0.28504544}, {'score': 0.17860879}, {'score': 0.3107374}, {'score': 0.47616822}, {'score': 0.22520213}, {'score': 0.3064545}, {'score': 0.31390134}, {'score': 0.37959495}, {'score': 0.28308192}, {'score': 0.18865125}, {'score': 0.23499243}, {'score': 0.257121}, {'score': 0.27698222}, {'score': 0.3266786}, {'score': 0.25937015}, {'score': 0.30620438}]
this mug has an extra 225g (8oz) of weight to make it easier for clients with tremors and athetosis to control movement while drinking .																					[{'score': 0.99999994}, {'score': 0.3204456}, {'score': 0.34477168}, {'score': 0.322567}, {'score': 0.28504544}, {'score': 0.17860879}, {'score': 0.3107374}, {'score': 0.47616822}, {'score': 0.22520213}, {'score': 0.3064545}, {'score': 0.31390134}, {'score': 0.37959495}, {'score': 0.28308192}, {'score': 0.18865125}, {'score': 0.23499243}, {'score': 0.257121}, {'score': 0.27698222}, {'score': 0.3266786}, {'score': 0.25937015}, {'score': 0.30620438}]
angled rim for the person who is unable to tip their head back safely to drink , liquid level visible , complete with lid and microwave and dishwasher safe .																					[{'score': 0.99999994}, {'score': 0.3204456}, {'score': 0.34477168}, {'score': 0.322567}, {'score': 0.28504544}, {'score': 0.17860879}, {'score': 0.3107374}, {'score': 0.47616822}, {'score': 0.22520213}, {'score': 0.3064545}, {'score': 0.31390134}, {'score': 0.37959495}, {'score': 0.28308192}, {'score': 0.18865125}, {'score': 0.23499243}, {'score': 0.257121}, {'score': 0.27698222}, {'score': 0.3266786}, {'score': 0.25937015}, {'score': 0.30620438}]
is held by three suction cups on the table to,&nbsp; peel with only one hand possible ,toothed opposite side allows e.g. to dump off a fish																					[{'score': 0.99999994}, {'score': 0.3204456}, {'score': 0.34477168}, {'score': 0.322567}, {'score': 0.28504544}, {'score': 0.17860879}, {'score': 0.3107374}, {'score': 0.47616822}, {'score': 0.22520213}, {'score': 0.3064545}, {'score': 0.31390134}, {'score': 0.37959495}, {'score': 0.28308192}, {'score': 0.18865125}, {'score': 0.23499243}, {'score': 0.257121}, {'score': 0.27698222}, {'score': 0.3266786}, {'score': 0.25937015}, {'score': 0.30620438}]
insulated mug with handle and contrasting coloured rim. mug features an internal cone which assists the drinking action for those with restricted neck movement. available in two rim colours. range of lids include a spouted lid, non-drip spouted lid and a standard lid with small drinking aperture.																					[{'score': 0.99999994}, {'score': 0.3204456}, {'score': 0.34477168}, {'score': 0.322567}, {'score': 0.28504544}, {'score': 0.17860879}, {'score': 0.3107374}, {'score': 0.47616822}, {'score': 0.22520213}, {'score': 0.3064545}, {'score': 0.31390134}, {'score': 0.37959495}, {'score': 0.28308192}, {'score': 0.18865125}, {'score': 0.23499243}, {'score': 0.257121}, {'score': 0.27698222}, {'score': 0.3266786}, {'score': 0.25937015}, {'score': 0.30620438}]
ergo plus cup																					[{'score': 0.99999994}, {'score': 0.3204456}, {'score': 0.34477168}, {'score': 0.322567}, {'score': 0.28504544}, {'score': 0.17860879}, {'score': 0.3107374}, {'score': 0.47616822}, {'score': 0.22520213}, {'score': 0.3064545}, {'score': 0.31390134}, {'score': 0.37959495}, {'score': 0.28308192}, {'score': 0.18865125}, {'score': 0.23499243}, {'score': 0.257121}, {'score': 0.27698222}, {'score': 0.3266786}, {'score': 0.25937015}, {'score': 0.30620438}]
"if you have difficulty with poor or weak grip as a result of for example arthritis or you have a tremor then this could be the cup for you.

the wide base makes the drinking cup more stable and the two handed large grip handles makes it easier to hold.

this two handled cup is suitable for children and adults. the cup has an angled spill resistant spout and lid and a sip lid and can be used with a straw.

please note - no cup can be totally non-spill - this cup is designed to mitigate spillages."																					[{'score': 0.99999994}, {'score': 0.3204456}, {'score': 0.34477168}, {'score': 0.322567}, {'score': 0.28504544}, {'score': 0.17860879}, {'score': 0.3107374}, {'score': 0.47616822}, {'score': 0.22520213}, {'score': 0.3064545}, {'score': 0.31390134}, {'score': 0.37959495}, {'score': 0.28308192}, {'score': 0.18865125}, {'score': 0.23499243}, {'score': 0.257121}, {'score': 0.27698222}, {'score': 0.3266786}, {'score': 0.25937015}, {'score': 0.30620438}]
"

vegetable peeler designed for comfortable, safe, effortless peeling

"																					[{'score': 0.99999994}, {'score': 0.3204456}, {'score': 0.34477168}, {'score': 0.322567}, {'score': 0.28504544}, {'score': 0.17860879}, {'score': 0.3107374}, {'score': 0.47616822}, {'score': 0.22520213}, {'score': 0.3064545}, {'score': 0.31390134}, {'score': 0.37959495}, {'score': 0.28308192}, {'score': 0.18865125}, {'score': 0.23499243}, {'score': 0.257121}, {'score': 0.27698222}, {'score': 0.3266786}, {'score': 0.25937015}, {'score': 0.30620438}]
effortlessly, efficiently peels slippery and waxy skins																					[{'score': 0.99999994}, {'score': 0.3204456}, {'score': 0.34477168}, {'score': 0.322567}, {'score': 0.28504544}, {'score': 0.17860879}, {'score': 0.3107374}, {'score': 0.47616822}, {'score': 0.22520213}, {'score': 0.3064545}, {'score': 0.31390134}, {'score': 0.37959495}, {'score': 0.28308192}, {'score': 0.18865125}, {'score': 0.23499243}, {'score': 0.257121}, {'score': 0.27698222}, {'score': 0.3266786}, {'score': 0.25937015}, {'score': 0.30620438}]
the comforting night light means the cup can be placed anywhere near your little ones bed and still be easy to find - it&#39;s also light sensitive so you don&#39;t need to remember to turn it off!&nbsp;																					[{'score': 0.99999994}, {'score': 0.3204456}, {'score': 0.34477168}, {'score': 0.322567}, {'score': 0.28504544}, {'score': 0.17860879}, {'score': 0.3107374}, {'score': 0.47616822}, {'score': 0.22520213}, {'score': 0.3064545}, {'score': 0.31390134}, {'score': 0.37959495}, {'score': 0.28308192}, {'score': 0.18865125}, {'score': 0.23499243}, {'score': 0.257121}, {'score': 0.27698222}, {'score': 0.3266786}, {'score': 0.25937015}, {'score': 0.30620438}]
